,SAT,base,base2
857,0.342,0.448,0.517
858,0.327,0.423,0.494
859,0.35,0.441,0.507
860,0.353,0.436,0.508
861,0.337,0.424,0.493
862,0.355,0.439,0.507
863,0.342,0.432,0.503
864,0.331,0.42,0.491
865,0.349,0.438,0.508
866,0.349,0.442,0.516
867,0.342,0.446,0.508
868,0.367,0.46,0.523
869,0.346,0.431,0.497
870,0.34,0.432,0.506
871,0.365,0.46,0.505
872,0.335,0.421,0.494
873,0.352,0.442,0.511
874,0.341,0.429,0.502
875,0.353,0.433,0.503
876,0.35,0.436,0.507
877,0.377,0.465,0.512
878,0.365,0.452,0.517
879,0.345,0.439,0.506
880,0.351,0.433,0.502
881,0.344,0.442,0.513
882,0.375,0.463,0.507
883,0.363,0.444,0.503
884,0.342,0.427,0.498
885,0.35,0.439,0.509
886,0.36,0.443,0.514
887,0.34,0.424,0.493
888,0.355,0.438,0.501
889,0.345,0.428,0.495
890,0.349,0.439,0.503
891,0.342,0.429,0.501
892,0.354,0.432,0.499
893,0.35,0.447,0.517
894,0.363,0.453,0.514
895,0.354,0.435,0.504
896,0.351,0.432,0.502
897,0.341,0.44,0.508
898,0.345,0.437,0.506
899,0.343,0.432,0.499
900,0.324,0.411,0.482
901,0.34,0.426,0.498
902,0.375,0.456,0.507
903,0.345,0.444,0.509
904,0.347,0.44,0.51
905,0.342,0.428,0.498
906,0.344,0.446,0.516
907,0.346,0.444,0.511
908,0.336,0.418,0.486
909,0.355,0.449,0.52
910,0.348,0.455,0.524
911,0.343,0.434,0.505
912,0.348,0.43,0.498
913,0.348,0.435,0.508
914,0.345,0.424,0.494
915,0.358,0.442,0.512
916,0.34,0.427,0.497
917,0.352,0.441,0.502
918,0.352,0.437,0.507
919,0.349,0.433,0.504
920,0.336,0.429,0.497
921,0.363,0.445,0.512
922,0.356,0.45,0.514
923,0.348,0.439,0.508
924,0.343,0.428,0.501
925,0.346,0.439,0.51
926,0.345,0.424,0.491
927,0.353,0.448,0.51
928,0.34,0.438,0.506
929,0.365,0.442,0.506
930,0.351,0.427,0.501
931,0.341,0.426,0.492
932,0.337,0.415,0.484
933,0.338,0.429,0.5
934,0.348,0.444,0.514
935,0.334,0.43,0.499
936,0.357,0.45,0.517
937,0.351,0.443,0.508
938,0.348,0.433,0.498
939,0.35,0.449,0.514
940,0.345,0.446,0.517
941,0.344,0.426,0.494
942,0.368,0.45,0.501
943,0.339,0.435,0.502
944,0.361,0.459,0.518
945,0.345,0.444,0.513
946,0.357,0.44,0.51
947,0.333,0.421,0.487
948,0.354,0.452,0.514
949,0.327,0.427,0.496
950,0.34,0.43,0.5
951,0.353,0.444,0.494
952,0.356,0.448,0.508
953,0.352,0.445,0.514
954,0.339,0.428,0.498
955,0.35,0.438,0.496
956,0.348,0.445,0.51
957,0.363,0.455,0.515
958,0.364,0.445,0.512
959,0.343,0.437,0.512
960,0.354,0.44,0.507
961,0.356,0.446,0.503
962,0.356,0.448,0.513
963,0.357,0.438,0.5
964,0.337,0.434,0.507
965,0.345,0.433,0.504
966,0.349,0.436,0.506
967,0.351,0.431,0.501
968,0.346,0.435,0.504
969,0.372,0.444,0.491
970,0.349,0.447,0.517
971,0.356,0.439,0.51
972,0.343,0.434,0.501
973,0.356,0.449,0.51
974,0.344,0.423,0.495
975,0.362,0.447,0.518
976,0.338,0.42,0.491
977,0.359,0.453,0.507
978,0.369,0.461,0.51
979,0.337,0.422,0.498
980,0.343,0.436,0.505
981,0.344,0.438,0.507
982,0.358,0.44,0.519
983,0.364,0.433,0.505
984,0.351,0.441,0.509
985,0.332,0.426,0.492
986,0.337,0.421,0.494
987,0.342,0.438,0.512
988,0.366,0.446,0.506
989,0.349,0.433,0.501
990,0.35,0.436,0.507
991,0.355,0.451,0.516
992,0.35,0.442,0.511
993,0.333,0.425,0.496
994,0.35,0.448,0.507
