,MRA,base,base2
918,0.347,0.43,0.506
919,0.34,0.449,0.515
920,0.34,0.43,0.502
921,0.347,0.448,0.518
922,0.342,0.445,0.505
923,0.345,0.437,0.506
924,0.346,0.451,0.515
925,0.345,0.437,0.508
926,0.338,0.433,0.503
927,0.33,0.439,0.501
928,0.347,0.436,0.508
929,0.329,0.446,0.497
930,0.347,0.438,0.512
931,0.339,0.433,0.507
932,0.341,0.439,0.509
933,0.344,0.444,0.505
934,0.335,0.434,0.505
935,0.347,0.439,0.508
936,0.338,0.43,0.499
937,0.342,0.441,0.504
938,0.333,0.441,0.504
939,0.338,0.439,0.512
940,0.335,0.442,0.504
941,0.342,0.422,0.497
942,0.338,0.439,0.507
943,0.333,0.437,0.502
944,0.336,0.424,0.498
945,0.347,0.437,0.506
946,0.347,0.43,0.505
947,0.331,0.438,0.506
948,0.334,0.426,0.499
949,0.34,0.448,0.515
950,0.336,0.438,0.505
951,0.348,0.444,0.514
952,0.34,0.448,0.503
953,0.341,0.443,0.512
954,0.333,0.441,0.506
955,0.351,0.441,0.513
956,0.339,0.445,0.514
957,0.34,0.427,0.496
958,0.346,0.429,0.5
959,0.348,0.443,0.514
960,0.336,0.44,0.512
961,0.332,0.439,0.508
962,0.337,0.443,0.509
963,0.341,0.429,0.495
964,0.337,0.43,0.5
965,0.345,0.434,0.504
966,0.343,0.441,0.508
967,0.336,0.451,0.509
968,0.338,0.43,0.5
969,0.328,0.433,0.494
970,0.345,0.427,0.499
971,0.347,0.432,0.503
972,0.339,0.434,0.498
973,0.337,0.444,0.511
974,0.343,0.446,0.508
975,0.343,0.45,0.511
976,0.341,0.431,0.497
977,0.344,0.443,0.513
978,0.339,0.435,0.497
979,0.345,0.452,0.516
980,0.352,0.446,0.515
981,0.342,0.439,0.51
982,0.352,0.437,0.505
983,0.349,0.433,0.502
984,0.347,0.427,0.496
985,0.35,0.44,0.513
986,0.336,0.437,0.502
987,0.339,0.442,0.513
988,0.337,0.429,0.502
989,0.343,0.44,0.51
990,0.344,0.437,0.506
991,0.337,0.432,0.5
992,0.341,0.435,0.502
993,0.339,0.421,0.495
994,0.335,0.443,0.512
