,SAT,base,base2
566,0.155,0.184,0.213
567,0.162,0.183,0.214
568,0.163,0.181,0.208
569,0.157,0.184,0.213
570,0.158,0.18,0.211
571,0.161,0.186,0.214
572,0.166,0.189,0.223
573,0.162,0.188,0.218
574,0.162,0.189,0.217
575,0.165,0.185,0.216
576,0.164,0.182,0.217
577,0.159,0.182,0.213
578,0.161,0.186,0.218
579,0.152,0.178,0.207
580,0.163,0.186,0.214
581,0.164,0.188,0.217
582,0.158,0.185,0.214
583,0.154,0.181,0.209
584,0.157,0.181,0.208
585,0.165,0.187,0.216
586,0.161,0.184,0.215
587,0.159,0.181,0.211
588,0.163,0.188,0.217
589,0.159,0.178,0.209
590,0.167,0.188,0.219
591,0.157,0.183,0.211
592,0.161,0.182,0.211
593,0.152,0.181,0.211
594,0.167,0.187,0.219
595,0.159,0.184,0.212
596,0.165,0.184,0.214
597,0.16,0.179,0.209
598,0.167,0.189,0.22
599,0.156,0.183,0.21
600,0.169,0.188,0.219
601,0.158,0.182,0.211
602,0.16,0.184,0.212
603,0.154,0.177,0.207
604,0.165,0.181,0.209
605,0.16,0.187,0.214
606,0.158,0.177,0.206
607,0.17,0.188,0.221
608,0.163,0.188,0.217
609,0.155,0.182,0.21
610,0.163,0.184,0.216
611,0.164,0.187,0.215
612,0.161,0.181,0.212
613,0.158,0.18,0.211
614,0.163,0.183,0.21
615,0.162,0.188,0.215
616,0.166,0.189,0.219
617,0.165,0.185,0.215
618,0.155,0.181,0.21
619,0.164,0.179,0.21
620,0.159,0.182,0.211
621,0.161,0.183,0.215
622,0.154,0.182,0.213
623,0.162,0.185,0.214
624,0.151,0.175,0.205
625,0.161,0.185,0.214
626,0.161,0.186,0.214
627,0.158,0.182,0.214
628,0.164,0.186,0.214
629,0.162,0.188,0.216
630,0.156,0.182,0.211
631,0.16,0.184,0.213
632,0.159,0.187,0.213
633,0.155,0.18,0.209
634,0.151,0.178,0.208
635,0.157,0.183,0.211
636,0.167,0.188,0.218
637,0.168,0.183,0.213
638,0.168,0.191,0.223
639,0.16,0.184,0.213
640,0.165,0.188,0.217
641,0.161,0.181,0.21
642,0.16,0.187,0.217
643,0.156,0.182,0.21
644,0.16,0.183,0.211
645,0.162,0.187,0.216
646,0.156,0.18,0.209
647,0.161,0.191,0.219
648,0.159,0.18,0.211
649,0.159,0.182,0.211
650,0.164,0.188,0.218
651,0.161,0.187,0.219
652,0.162,0.19,0.22
653,0.161,0.178,0.208
654,0.159,0.184,0.21
655,0.155,0.18,0.21
656,0.169,0.19,0.221
657,0.163,0.18,0.209
658,0.159,0.18,0.213
659,0.164,0.189,0.218
660,0.161,0.186,0.216
661,0.158,0.178,0.208
662,0.162,0.185,0.217
663,0.164,0.185,0.215
664,0.156,0.179,0.211
665,0.16,0.18,0.207
666,0.161,0.181,0.212
667,0.161,0.179,0.209
668,0.165,0.191,0.221
669,0.168,0.191,0.219
670,0.164,0.187,0.217
671,0.162,0.186,0.215
672,0.16,0.182,0.211
673,0.169,0.188,0.218
674,0.152,0.176,0.205
675,0.158,0.183,0.212
676,0.163,0.184,0.213
677,0.16,0.183,0.211
678,0.162,0.185,0.211
679,0.16,0.182,0.21
680,0.16,0.182,0.212
681,0.17,0.195,0.223
682,0.164,0.185,0.214
683,0.161,0.184,0.217
684,0.159,0.186,0.216
685,0.163,0.185,0.215
686,0.152,0.175,0.205
687,0.157,0.183,0.21
688,0.166,0.198,0.226
689,0.157,0.183,0.212
690,0.158,0.184,0.209
691,0.159,0.178,0.207
692,0.168,0.188,0.219
693,0.157,0.185,0.214
694,0.155,0.176,0.206
695,0.161,0.181,0.212
696,0.159,0.179,0.208
697,0.162,0.183,0.211
698,0.157,0.184,0.213
699,0.16,0.185,0.211
700,0.161,0.184,0.212
701,0.157,0.187,0.216
702,0.162,0.183,0.219
703,0.161,0.181,0.209
704,0.159,0.185,0.213
705,0.166,0.193,0.223
706,0.164,0.182,0.216
707,0.161,0.186,0.215
708,0.148,0.171,0.199
709,0.162,0.181,0.21
710,0.162,0.183,0.215
711,0.159,0.183,0.209
712,0.159,0.179,0.208
713,0.156,0.182,0.209
714,0.155,0.18,0.209
715,0.155,0.18,0.209
716,0.16,0.181,0.209
717,0.164,0.187,0.217
718,0.159,0.188,0.217
719,0.16,0.183,0.214
720,0.166,0.19,0.222
721,0.162,0.182,0.21
722,0.159,0.18,0.211
723,0.153,0.18,0.21
724,0.162,0.184,0.209
725,0.16,0.186,0.216
726,0.159,0.184,0.213
727,0.157,0.183,0.212
728,0.157,0.181,0.207
729,0.165,0.186,0.216
730,0.158,0.178,0.208
731,0.163,0.19,0.22
732,0.155,0.177,0.207
733,0.16,0.183,0.213
734,0.161,0.176,0.205
735,0.153,0.181,0.209
736,0.161,0.186,0.216
737,0.164,0.185,0.216
738,0.166,0.18,0.21
739,0.157,0.182,0.215
740,0.164,0.187,0.213
741,0.16,0.186,0.215
742,0.168,0.19,0.22
743,0.162,0.181,0.208
744,0.165,0.188,0.215
745,0.163,0.184,0.213
746,0.168,0.185,0.214
747,0.162,0.186,0.216
748,0.158,0.183,0.216
749,0.163,0.184,0.214
750,0.157,0.18,0.208
751,0.154,0.181,0.211
752,0.165,0.185,0.215
753,0.157,0.18,0.209
754,0.155,0.183,0.211
755,0.162,0.184,0.215
756,0.161,0.181,0.209
757,0.161,0.185,0.214
758,0.168,0.188,0.216
759,0.16,0.183,0.211
760,0.161,0.186,0.216
761,0.16,0.184,0.217
762,0.164,0.189,0.22
763,0.161,0.183,0.211
764,0.167,0.189,0.22
765,0.168,0.189,0.22
766,0.161,0.186,0.213
767,0.156,0.177,0.208
768,0.161,0.184,0.21
769,0.161,0.187,0.217
770,0.161,0.184,0.215
771,0.159,0.179,0.209
772,0.167,0.185,0.213
773,0.16,0.182,0.212
774,0.164,0.187,0.216
775,0.163,0.185,0.215
776,0.165,0.186,0.216
777,0.16,0.187,0.216
778,0.156,0.181,0.208
779,0.16,0.182,0.21
780,0.164,0.186,0.216
781,0.159,0.186,0.216
782,0.157,0.182,0.213
783,0.153,0.179,0.209
784,0.163,0.187,0.216
785,0.158,0.181,0.211
786,0.158,0.179,0.209
787,0.165,0.183,0.216
788,0.165,0.183,0.213
789,0.155,0.179,0.207
790,0.162,0.185,0.214
791,0.158,0.178,0.207
792,0.157,0.182,0.21
793,0.163,0.182,0.212
794,0.155,0.178,0.21
795,0.163,0.184,0.212
796,0.165,0.185,0.214
797,0.166,0.186,0.216
798,0.15,0.178,0.209
799,0.164,0.184,0.216
800,0.173,0.193,0.223
801,0.156,0.182,0.215
802,0.163,0.182,0.211
803,0.17,0.189,0.221
804,0.163,0.185,0.215
805,0.167,0.185,0.215
806,0.171,0.187,0.217
807,0.165,0.187,0.217
808,0.159,0.182,0.216
809,0.163,0.184,0.215
810,0.165,0.193,0.221
811,0.159,0.184,0.212
812,0.159,0.189,0.219
813,0.157,0.18,0.21
814,0.16,0.183,0.21
815,0.158,0.182,0.209
816,0.157,0.186,0.217
817,0.159,0.179,0.207
818,0.162,0.189,0.218
819,0.157,0.18,0.208
820,0.16,0.188,0.216
821,0.156,0.184,0.211
822,0.16,0.184,0.214
823,0.162,0.186,0.214
824,0.157,0.18,0.209
825,0.159,0.189,0.217
826,0.153,0.182,0.208
827,0.162,0.186,0.216
828,0.158,0.181,0.207
829,0.167,0.188,0.215
830,0.154,0.178,0.209
831,0.161,0.192,0.221
832,0.154,0.18,0.209
833,0.162,0.18,0.211
834,0.164,0.184,0.215
835,0.155,0.181,0.21
836,0.159,0.18,0.21
837,0.16,0.183,0.211
838,0.161,0.185,0.215
839,0.162,0.184,0.214
840,0.166,0.19,0.22
841,0.155,0.182,0.21
842,0.163,0.182,0.214
843,0.155,0.182,0.21
844,0.157,0.183,0.216
845,0.165,0.184,0.215
846,0.168,0.188,0.221
847,0.166,0.189,0.219
848,0.158,0.178,0.211
849,0.161,0.181,0.211
850,0.156,0.176,0.205
851,0.161,0.184,0.213
852,0.156,0.179,0.211
853,0.159,0.184,0.212
854,0.16,0.18,0.21
855,0.164,0.189,0.22
856,0.156,0.182,0.21
857,0.155,0.181,0.208
858,0.164,0.185,0.217
859,0.156,0.187,0.214
860,0.167,0.182,0.212
861,0.155,0.181,0.209
862,0.159,0.175,0.207
863,0.161,0.186,0.215
864,0.153,0.175,0.207
865,0.163,0.184,0.211
866,0.162,0.191,0.219
867,0.168,0.189,0.221
868,0.168,0.183,0.213
869,0.164,0.18,0.211
870,0.161,0.186,0.213
871,0.155,0.183,0.211
872,0.166,0.185,0.216
873,0.156,0.182,0.21
874,0.16,0.18,0.213
875,0.165,0.189,0.22
876,0.162,0.185,0.214
877,0.16,0.184,0.212
878,0.168,0.188,0.219
879,0.164,0.188,0.215
880,0.157,0.18,0.211
881,0.16,0.186,0.213
882,0.164,0.19,0.217
883,0.153,0.178,0.207
884,0.16,0.186,0.215
885,0.164,0.182,0.213
886,0.163,0.183,0.21
887,0.162,0.186,0.218
888,0.156,0.179,0.206
889,0.163,0.184,0.213
890,0.164,0.188,0.219
891,0.167,0.186,0.215
892,0.16,0.185,0.215
893,0.161,0.185,0.213
894,0.162,0.184,0.214
895,0.16,0.183,0.212
896,0.155,0.179,0.21
897,0.159,0.182,0.21
898,0.156,0.189,0.216
899,0.154,0.181,0.211
900,0.167,0.195,0.223
901,0.156,0.181,0.212
902,0.163,0.184,0.217
903,0.161,0.183,0.214
